estimator,parking_index,theta_hat,successes,exposure
stop_confirmed,55,0.8571428571428571,5.0,5.0
stop_confirmed,56,0.5,5.0,10.0
stop_confirmed,57,0.2222222222222222,7.0,34.0
stop_confirmed,58,0.75,2.0,2.0
stop_confirmed,59,0.4857142857142857,16.0,33.0
stop_confirmed,60,0.6,5.0,8.0
stop_confirmed,61,0.9,8.0,8.0
stop_confirmed,62,0.75,5.0,6.0
stop_confirmed,63,0.5,7.0,14.0
stop_confirmed,64,0.39285714285714285,10.0,26.0
stop_confirmed,65,0.8181818181818182,8.0,9.0
stop_confirmed,66,0.2909090909090909,15.0,53.0
stop_confirmed,67,0.875,6.0,6.0
stop_confirmed,68,0.75,2.0,2.0
stop_confirmed,69,0.5,1.0,2.0
stop_confirmed,70,0.46153846153846156,5.0,11.0
stop_confirmed,71,0.375,14.0,38.0
stop_confirmed,72,0.6,11.0,18.0
stop_confirmed,73,0.6111111111111112,10.0,16.0
stop_confirmed,74,0.6666666666666666,5.0,7.0
stop_confirmed,75,0.47619047619047616,9.0,19.0
stop_confirmed,76,0.5833333333333334,6.0,10.0
stop_confirmed,77,0.5714285714285714,7.0,12.0
stop_confirmed,78,0.7647058823529411,12.0,15.0
stop_confirmed,79,0.3125,4.0,14.0
stop_confirmed,80,0.7142857142857143,4.0,5.0
stop_confirmed,81,0.8333333333333334,4.0,4.0
stop_confirmed,82,0.5384615384615384,6.0,11.0
stop_confirmed,83,0.25,2.0,10.0
stop_confirmed,84,0.25,1.0,6.0
stop_confirmed,85,0.8,3.0,3.0
stop_confirmed,86,0.425,16.0,38.0
stop_confirmed,87,0.35714285714285715,4.0,12.0
stop_confirmed,88,0.6666666666666666,5.0,7.0
stop_confirmed,89,0.6923076923076923,8.0,11.0
stop_confirmed,90,0.5882352941176471,9.0,15.0
stop_confirmed,91,0.5714285714285714,7.0,12.0
stop_confirmed,92,0.375,2.0,6.0
stop_confirmed,93,0.14285714285714285,1.0,12.0
stop_confirmed,94,0.3333333333333333,4.0,13.0
stop_confirmed,95,0.5,6.0,12.0
stop_confirmed,96,0.17391304347826086,3.0,21.0
stop_confirmed,97,0.4444444444444444,11.0,25.0
stop_confirmed,98,0.2857142857142857,11.0,40.0
stop_confirmed,99,0.42105263157894735,7.0,17.0
stop_confirmed,100,0.2777777777777778,4.0,16.0
stop_confirmed,101,0.6666666666666666,1.0,1.0
stop_confirmed,102,0.625,4.0,6.0
stop_confirmed,103,0.3125,4.0,14.0
stop_confirmed,104,0.631578947368421,11.0,17.0
stop_confirmed,105,0.5,2.0,4.0
stop_confirmed,106,0.5555555555555556,4.0,7.0
stop_confirmed,107,0.36363636363636365,7.0,20.0
stop_confirmed,108,0.35,6.0,18.0
stop_confirmed,109,0.3448275862068966,9.0,27.0
stop_confirmed,110,0.2903225806451613,8.0,29.0
stop_confirmed,111,0.2608695652173913,5.0,21.0
stop_confirmed,112,0.5714285714285714,3.0,5.0
stop_confirmed,113,0.43478260869565216,9.0,21.0
stop_confirmed,114,0.24324324324324326,8.0,35.0
stop_confirmed,115,0.7777777777777778,6.0,7.0
stop_confirmed,116,0.14814814814814814,3.0,25.0
stop_confirmed,117,0.23076923076923078,2.0,11.0
stop_confirmed,118,0.8,3.0,3.0
