rep,seed,n_vehicles,trips_per_vehicle,total_trips,K,estimator,mae,rmse,corr,n_used
0,50,50,10,500,155,trace_exposure,0.21024467451924367,0.25595137854196714,0.389955541929857,155
0,50,50,10,500,155,stop_confirmed,0.1385280235073532,0.17123750042662841,0.3732721382850834,155
0,50,50,10,500,155,oracle_exposure,0.1274268810394209,0.16144690028670342,0.6056558471740007,155
0,100,100,10,1000,155,trace_exposure,0.2258211318862692,0.27249852092571397,0.29047477342365713,155
0,100,100,10,1000,155,stop_confirmed,0.14147483358065618,0.17895732383179924,0.40305596593347653,155
0,100,100,10,1000,155,oracle_exposure,0.09021264059533209,0.12154451464561082,0.7455727939029645,155
0,200,200,10,2000,155,trace_exposure,0.23431562006602108,0.2750605663134436,0.39983446795896144,155
0,200,200,10,2000,155,stop_confirmed,0.11281576283828512,0.14823317779593365,0.6131797649443167,155
0,200,200,10,2000,155,oracle_exposure,0.07464823843100263,0.09538396151014944,0.8563147348621016,155
0,500,500,10,5000,155,trace_exposure,0.22988992289089527,0.27102179199347703,0.3730000420213299,155
0,500,500,10,5000,155,stop_confirmed,0.09645098028643809,0.12473104091985839,0.7303243080345936,155
0,500,500,10,5000,155,oracle_exposure,0.050493332218457365,0.0651140410278202,0.9222870088108047,155
0,1000,1000,10,10000,155,trace_exposure,0.224071297598043,0.2674425971728316,0.40548921355841344,155
0,1000,1000,10,10000,155,stop_confirmed,0.07350143235479005,0.09153597635579273,0.8455409046402175,155
0,1000,1000,10,10000,155,oracle_exposure,0.0324908461823979,0.04201064850408495,0.9693283876704029,155
0,2000,2000,10,20000,155,trace_exposure,0.2273967577973568,0.2667707438863256,0.4302705133579453,155
0,2000,2000,10,20000,155,stop_confirmed,0.051877159534551416,0.06901382212313405,0.9216092520962043,155
0,2000,2000,10,20000,155,oracle_exposure,0.026701199044261974,0.03375168651973058,0.979492987055419,155
0,5000,5000,10,50000,155,trace_exposure,0.22488158373360936,0.2659374510797115,0.4283580050437717,155
0,5000,5000,10,50000,155,stop_confirmed,0.03142315355913799,0.04093578303305983,0.9689070362401695,155
0,5000,5000,10,50000,155,oracle_exposure,0.01459253796323193,0.01840010794148527,0.9937011964802798,155
